article_name,country,revision_id,article_quality_est.,population
Bir I of Kanem,Chad,355319463,Stub,16877000
Abdullah II of Kanem,Chad,498683267,Stub,16877000
Salmama II of Kanem,Chad,565745353,Stub,16877000
Kuri I of Kanem,Chad,565745365,Stub,16877000
Mohammed I of Kanem,Chad,565745375,Stub,16877000
Kuri II of Kanem,Chad,669719757,Stub,16877000
Bir II of Kanem,Chad,670893206,Stub,16877000
Mahamat Hissene,Chad,693055898,Stub,16877000
Othman I,Chad,705432607,Stub,16877000
Alphonse Kotiga,Chad,707593108,Stub,16877000
Oueddei Kichidemi,Chad,708346649,Start,16877000
Dunama I,Chad,710675092,Stub,16877000
Ahmad (Kanem-Bornu king),Chad,711388267,Stub,16877000
Djibrine Kerallah,Chad,712971263,Stub,16877000
Maurice Ngangtar,Chad,712971315,Stub,16877000
Idriss Miskine,Chad,712971738,Stub,16877000
Laoukein Kourayo Médard,Chad,716886170,Stub,16877000
Nadji Madou,Chad,716886788,Stub,16877000
Noël Milarew Odingar,Chad,716891799,Start,16877000
Yaya Dillo Djérou,Chad,717733209,Stub,16877000
Acheikh Ibn-Oumar,Chad,719821590,Start,16877000
Quatre Sou Quatre,Chad,720066754,Stub,16877000
Ali Gazi,Chad,722563340,Stub,16877000
Mahamat Djarma Khatir,Chad,725132042,Stub,16877000
Dunama IX Lefiami,Chad,731749611,Stub,16877000
Dawud of Kanem,Chad,736550266,Stub,16877000
Ahmed Koulamallah,Chad,738855197,Start,16877000
Abbo Nassour,Chad,741369486,C,16877000
Abdel Kader Baba-Laddé,Chad,742213176,Stub,16877000
Hummay,Chad,747271475,Stub,16877000
Ngarlejy Yorongar,Chad,751304544,C,16877000
Saleh Kezabo,Chad,751380073,Stub,16877000
Bourkou Louise Kabo,Chad,757072468,Start,16877000
Brahim Koulamallah,Chad,757802238,Stub,16877000
Saadie Goukouni Weddeye,Chad,757842614,Start,16877000
Mahamoud Adam Béchir,Chad,762579466,Start,16877000
Djidingar Dono Ngardoum,Chad,764133533,Stub,16877000
Youssouf Saleh Abbas,Chad,771052289,C,16877000
Koibla Djimasta,Chad,774223245,Start,16877000
Nassour Guelendouksia Ouaido,Chad,774223248,C,16877000
Joseph Brahim Seid,Chad,777478442,Stub,16877000
Joseph Yodoyman,Chad,777550078,Start,16877000
Antoine Bangui,Chad,782638002,Start,16877000
Ibrahim IV of Bornu,Chad,785614014,Stub,16877000
Hadjé Halimé,Chad,786449636,C,16877000
Youssouf Togoïmi,Chad,787390241,Start,16877000
Adoum Younousmi,Chad,787719236,Start,16877000
François Tombalbaye,Chad,787738541,C,16877000
Ahmat Hassaballah Soubiane,Chad,787910771,Stub,16877000
Ahmad Allam-Mi,Chad,787921293,Start,16877000
Laotegguelnodji Koumtog,Chad,788009613,Stub,16877000
Mahamat Ali Adoum,Chad,788014671,Start,16877000
Mahamat Saleh Annadif,Chad,788658822,Start,16877000
Mohamed Bechir-Sow,Chad,788827248,Stub,16877000
Gontchomé Sahoulba,Chad,788828388,Start,16877000
Gabriel Lisette,Chad,788828519,Start,16877000
Ali II of Bornu,Chad,788999424,Stub,16877000
Arabi El Goni,Chad,789126126,Stub,16877000
Dunama Dabbalemi,Chad,789935196,Start,16877000
Idris Alooma,Chad,792734868,Start,16877000
Mahamat Nouri,Chad,792954115,B,16877000
Idriss Ndele Moussa,Chad,796654025,Stub,16877000
Mbaydoum Simeon,Chad,796690873,Stub,16877000
